Uniprote_IDs,uT01,uT02,uT03,uT04,uT05,uT06,uT07,uT08,uT09,uT10,FA01,FA02,FA03,FA04,FA05,FA06,FA07,FA08,FA09,FA10
P11182,70.12619019,70.215065,75.26786041,83.5865097,79.33945465,70.07995605,92.57212067,90.18617249,87.32990265,90.72554779,62.52994156,65.5062561,65.55576324,81.20627594,60.26939774,74.63920593,95.1690979,79.71768951,85.30210114,64.42531586
P11216,130.9537354,152.8510742,158.8991547,136.8235168,141.5176239,132.1716309,141.9576111,133.1215515,130.4973145,105.9573288,122.3548737,142.4882507,146.676178,146.2393951,139.8046265,144.4310608,134.5683746,123.085495,159.4267578,128.6125793
P11217,191.0093384,167.3288574,192.5823364,171.1988831,206.5353394,221.0352173,328.8470459,191.2603302,207.0227203,204.141861,193.0177765,367.4641113,201.7323303,168.4495087,208.8604126,209.3012238,202.2385254,296.1212463,221.7697144,310.1556396
P11233,279.4056396,184.5058136,58.35255814,261.1967163,183.5639191,192.8423767,330.9678345,133.3537903,336.5595093,313.1501465,93.36006165,279.1873474,313.8091125,281.1323853,178.7931824,156.9546814,296.8760376,271.0563354,273.175354,279.5526123
P11234,353.4460144,474.29599,238.4346771,253.6635437,356.5477295,336.814209,515.7053223,332.1181335,751.4802856,421.6575317,235.6616211,256.645874,248.7995605,306.6526489,331.2609558,323.0042725,496.1411133,242.0048218,407.2775269,319.6442871
P11279,670.5125732,674.1939697,638.1696777,699.9005127,687.0629272,725.9277344,633.6248169,652.053894,663.6611938,548.324585,655.4102173,683.0720825,674.6755981,679.7106934,648.309082,742.3120728,627.3538208,537.8335571,617.6118164,659.0217896
P11310,881.9876099,889.2946167,905.477356,903.4468384,934.1625977,907.1834717,946.4972534,909.1920166,1045.144897,1043.785034,893.1066895,870.2127075,877.6593628,903.3847046,968.9927368,1007.30719,1000.838501,1090.939453,1064.193604,1036.640869
P11387,497.6130371,455.4072571,473.7439575,487.2493896,504.3959961,450.5862732,484.0736084,485.3939209,519.8342285,501.1581421,388.9922485,471.566803,430.2590332,375.9465027,467.4673767,463.6912537,494.6430664,491.1618958,477.492981,552.0882568
P11388,535.9429321,558.7671509,578.1520386,579.4165039,592.8288574,605.2620239,608.9680176,644.8658447,636.722168,716.0393677,438.7329712,466.9083557,476.1269836,460.0537109,482.3763428,501.4075623,508.8172302,529.6480713,479.0797119,551.6750488
P11413,1359.353149,1258.661377,1313.167969,1300.130005,1249.734253,1375.284668,1317.935303,1408.434448,1447.464966,1559.018066,1427.094604,1386.558105,1446.747681,1386.966064,1421.323975,1429.608887,1535.490112,1548.207031,1509.813721,1562.038452
P11441,86.87854004,104.0673218,98.55505371,104.7026367,124.902504,116.1579132,110.4729462,97.50471497,123.1308746,76.36191559,107.3355255,110.215889,107.40448,111.2008667,113.056015,114.7704926,139.5237885,99.70433807,86.04380035,104.6248245
P11498,356.0834961,345.4766235,329.4031982,333.7613525,342.3606873,336.7372742,341.8313904,310.9234009,346.6206665,288.8238831,325.1905823,342.5389709,349.7287292,379.4601135,343.1420898,342.5888672,318.1357117,334.0635071,311.3871765,309.1134949
P11532,70.73968506,77.86950684,70.41492462,70.43603516,67.86768341,36.30664063,58.20991516,81.12013245,49.92849731,46.89074707,60.20444107,81.38331604,71.49415588,59.49141693,51.38973618,66.4974823,74.20970154,68.88526154,79.17868042,47.0258522
P11586,1098.10083,1112.424438,1020.137512,1159.518677,1070.069702,1095.15564,1053.349854,1120.939575,1229.478516,1209.076904,1094.690796,1117.157104,1167.268433,1074.467651,1110.230957,1183.560791,1141.418457,1402.19812,1196.878662,1095.047852
